,all,q_val.all,LFC.all,C,q_val.C,LFC.C,PS,q_val.PS,LFC.PS,P,q_val.P,LFC.P,means,Kingdom,Phylum,Class,Order,Family,Genus,RDPGenus,Species,Label
ASV1,FALSE,0.990868178,0.000283371,TRUE,9.70E-05,-0.195672787,FALSE,0.296721353,0.03160831,TRUE,0.005065453,-0.099034735,0.246405144,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter,ASV1,Marinobacter
ASV10,FALSE,0.805428115,-0.016025245,TRUE,3.26E-08,-0.426054919,FALSE,0.876110664,0.0043801,TRUE,7.58E-05,0.109649756,0.033076765,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Seohaeicola,Seohaeicola,ASV10,Seohaeicola
ASV12,FALSE,0.897913675,-0.006618041,TRUE,3.03E-06,-0.254005796,FALSE,0.868117874,-0.012106401,FALSE,0.880309221,-0.017691253,0.0416609,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Oceanicaulis,Oceanicaulis,ASV12,Oceanicaulis
ASV13,FALSE,0.731951598,-0.031595809,TRUE,6.78E-06,-0.259582055,FALSE,0.203841523,0.054103861,TRUE,0.001859286,-0.153258559,0.036103038,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA,ASV13,[family: Rhodobacteraceae]
ASV14,TRUE,0.014117814,-0.330960466,TRUE,0.003234639,-0.633592904,FALSE,0.8728621,0.01418736,TRUE,0.000953456,-0.637425181,0.02125515,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Alcanivoracaceae1,Alcanivorax,Alcanivorax,ASV14,Alcanivorax
ASV15,FALSE,0.938600711,-0.003169748,FALSE,0.964443338,0.002337694,FALSE,0.355834623,-0.042568296,TRUE,1.00E-06,-0.233227967,0.022108482,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius,ASV15,Roseovarius
ASV16,FALSE,0.501446632,-0.099165073,TRUE,1.35E-17,-0.622580903,FALSE,0.271251855,0.079732323,FALSE,0.938192059,-0.018595965,0.017165895,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Limnobacter,Limnobacter,ASV16,Limnobacter
ASV17,FALSE,0.65554821,0.05143706,TRUE,1.09E-05,-0.338551197,TRUE,0.000253875,0.394459128,FALSE,0.112313572,-0.165546076,0.014631615,Bacteria,Desulfobacterota,Desulfuromonadia,Bradymonadales,NA,NA,Bradymonas,ASV17,Bradymonas
ASV18,TRUE,0.000236052,0.285835532,TRUE,0.025969345,0.427177656,FALSE,0.464466268,-0.049937649,TRUE,0.004053103,0.216317262,0.008935923,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Devosia,ASV18,Devosia
ASV19,TRUE,0.039735338,-0.128970174,TRUE,6.10E-10,-0.532882562,FALSE,0.752170586,-0.028532339,FALSE,0.596195941,-0.089444947,0.012890581,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,Erythrobacter,ASV19,Erythrobacter (Altererythrobacter)
ASV20,FALSE,0.731951598,-0.017222985,TRUE,0.012030086,-0.13426754,FALSE,0.820874274,-0.016430013,TRUE,0.002937249,-0.164920729,0.006069067,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Roseovarius,ASV20,Roseovarius
ASV21,TRUE,0.000173201,0.160332163,FALSE,0.732916919,0.028292447,TRUE,0.048462951,0.118138541,FALSE,0.196465581,0.070616177,0.010198582,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Balneola,Balneola,ASV21,Balneola
ASV22,TRUE,0.027975972,0.062501883,FALSE,0.486172999,-0.036460383,FALSE,0.464466268,-0.03326449,FALSE,0.938192059,-0.006718806,0.007015283,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marivita,Marivita,ASV22,Marivita
ASV23,TRUE,2.70E-12,0.960282719,TRUE,2.41E-16,1.899922862,TRUE,1.97E-07,0.277676807,TRUE,0,0.439299164,0.003341708,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,Thalassospira,ASV23,Thalassospira
ASV25,TRUE,2.01E-09,-0.220548225,TRUE,2.02E-15,-0.489059982,FALSE,0.106232107,-0.094666735,TRUE,1.55E-11,-0.341867283,0.004569722,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Nioella,NA,ASV25,Nioella
ASV26,FALSE,0.359303499,-0.054060339,TRUE,2.80E-06,-0.228428185,FALSE,0.057671741,-0.093589777,FALSE,0.577915774,-0.104112381,0.002921299,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Thalassobaculaceae,Thalassobaculum,Thalassobaculum,ASV26,Thalassobaculum
ASV27,TRUE,2.34E-06,0.547403573,TRUE,1.25E-21,0.570393174,FALSE,0.409149391,0.239947307,TRUE,0,0.567920913,0.002572222,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Labrenzia,Roseibium,ASV27,Roseibium (Labrenzia) 
ASV28,TRUE,0.010474207,-0.204196598,TRUE,3.03E-06,-0.72647773,FALSE,0.853251453,0.009030423,TRUE,0.000280194,-0.159091814,0.004942801,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Hoeflea,Hoeflea,ASV28,Hoeflea
ASV29,FALSE,0.351338013,-0.046113754,TRUE,1.97E-10,-0.333197403,FALSE,0.254488143,0.095581672,TRUE,7.58E-05,-0.164674857,0.003968752,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Roseitalea,NA,ASV29,Roseitalea
ASV3,FALSE,0.171272694,0.049828268,FALSE,0.449399311,-0.045693511,FALSE,0.836919986,0.008956169,FALSE,0.157767051,-0.077727182,0.149406942,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter,ASV3,Marinobacter
ASV30,FALSE,0.215654019,0.057138693,FALSE,0.051524845,-0.148930108,FALSE,0.254488143,-0.054630288,FALSE,0.114304116,0.111027149,0.002013727,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,Muricauda,ASV30,Muricauda
ASV31,FALSE,0.806012494,0.018375464,TRUE,0.004822048,-0.306443848,FALSE,0.271251855,0.065067868,FALSE,0.698580609,0.032553045,0.003882304,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Oceanicaulis,Oceanicaulis,ASV31,Oceanicaulis
ASV32,FALSE,0.731951598,0.043063738,TRUE,0.033315043,-0.250357411,FALSE,0.836919986,0.056867746,FALSE,0.597416568,0.058731553,0.004461339,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Maricaulis,Maricaulis,ASV32,Maricaulis
ASV33,TRUE,0.039735338,-0.099514076,TRUE,5.05E-22,-0.402368406,NA,NA,NA,NA,NA,NA,0.001258167,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Pusillimonas,Pusillimonas,ASV33,Pusillimonas
ASV34,TRUE,0.027504008,-0.12252802,NA,NA,NA,TRUE,3.27E-05,-0.370153444,TRUE,0,-0.23999915,0.001287355,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Arenibacter,Arenibacter,ASV34,Arenibacter
ASV35,TRUE,0.004152459,-0.285187838,TRUE,0.000751686,-0.516156943,TRUE,6.93E-07,-0.276482344,TRUE,0.001709659,-0.326873552,0.00220245,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseibacterium,Aliiroseovarius,ASV35,Aliiroseovarius (Roseibacterium)
ASV37,FALSE,0.316025402,-0.070620897,TRUE,7.22E-22,-0.494457509,FALSE,0.816434052,0.039057024,FALSE,0.938192059,-0.020411531,0.001139076,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,Pseudohongiella,Pseudohongiella,ASV37,Pseudohongiella
ASV38,TRUE,0.01704408,0.164750287,NA,NA,NA,FALSE,0.058802839,0.33439818,NA,NA,NA,0.000604644,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,Phaeodactylibacter,ASV38,Phaeodactylibacter
ASV39,FALSE,0.806012494,0.032522487,TRUE,4.45E-12,-0.409196775,FALSE,0.271251855,0.228394489,FALSE,0.938192059,0.014420422,0.000700874,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Pyruvatibacter,Pyruvatibacter,ASV39,Pyruvatibacter
ASV40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000510433,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus,ASV40,Algoriphagus
ASV41,FALSE,0.265470485,-0.057153419,TRUE,6.78E-06,-0.317718622,NA,NA,NA,NA,NA,NA,0.00047654,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Mf105b01,NA,ASV41,Mf105b01 [family: Parvibaculaceae]
ASV42,FALSE,0.881233443,-0.020007465,NA,NA,NA,FALSE,0.423025086,-0.118863463,FALSE,0.622076416,-0.137517655,0.000468686,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA,ASV42,[family: Rhizobiaceae]
ASV43,FALSE,0.723942377,0.101433881,FALSE,0.616013917,0.163037744,FALSE,0.464466268,-0.248059167,FALSE,0.857111411,0.125373741,0.00042703,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Phocaeicola,ASV43,Phocaeicola (Bacteroides)
ASV44,FALSE,0.918930374,0.008430502,FALSE,0.050912716,-0.25907135,TRUE,0,0.103129384,NA,NA,NA,0.00019714,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,Magnetospira,NA,ASV44,Magnetospira
ASV45,FALSE,0.169632675,0.211049102,FALSE,0.307949415,0.235506305,FALSE,0.816434052,0.102190355,FALSE,0.938192059,0.031501319,0.000217595,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium,ASV45,Faecalibacterium
ASV46,FALSE,0.92455959,0.017974564,FALSE,0.917628773,0.029882744,FALSE,0.203841523,-0.350252303,FALSE,0.880309221,0.110343924,0.00026708,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium,ASV46,Faecalibacterium
ASV47,FALSE,0.806012494,-0.044409906,NA,NA,NA,NA,NA,NA,FALSE,0.208086636,-0.464282079,0.000475207,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,Prevotella,ASV47,Prevotella
ASV48,FALSE,0.600557309,0.082807498,NA,NA,NA,FALSE,0.254488143,0.307117699,FALSE,0.157767051,-0.301263739,0.000307872,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Cohaesibacter,NA,ASV48,Cohaesibacter
ASV49,FALSE,0.411301777,0.122742878,FALSE,0.473013761,-0.1331277,NA,NA,NA,FALSE,0.938192059,0.026423502,0.000215737,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Phocaeicola,ASV49,Phocaeicola (Bacteroides)
ASV5,FALSE,0.731951598,0.060926972,FALSE,0.081444034,0.207345788,TRUE,2.07E-07,-0.283413931,FALSE,0.938192059,-0.005100267,0.132872026,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA,NA,ASV5,[family: Cryomorphaceae]
ASV50,FALSE,0.258228897,-0.140837632,TRUE,0.014748971,-0.556091546,FALSE,0.633118764,-0.101302753,NA,NA,NA,0.000133778,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter,ASV50,Acinetobacter
ASV51,FALSE,0.169632675,0.173722703,FALSE,0.051524845,0.421792979,FALSE,0.464466268,-0.140032991,FALSE,0.938192059,-0.024541206,0.000150968,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia,ASV51,Blautia
ASV52,TRUE,0.003953067,0.326834952,TRUE,0,0.507798874,FALSE,0.891857288,0.024225264,FALSE,0.386496218,0.184531393,0.000198583,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter,ASV52,Agathobacter
ASV53,TRUE,0.039735338,0.228795211,TRUE,0,0.276482658,FALSE,0.836919986,0.069086444,NA,NA,NA,0.000120111,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Donghicola,NA,ASV53,Donghicola
ASV54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00012742,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,ASV54,Lactobacillus
ASV55,FALSE,0.215654019,0.154467643,FALSE,0.509887772,0.105678461,NA,NA,NA,FALSE,0.88140425,0.084840201,0.000181406,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium,ASV55,Faecalibacterium
ASV57,FALSE,0.569331208,0.057653478,FALSE,0.695877293,-0.042596619,FALSE,0.85398468,0.034323582,NA,NA,NA,0.000105772,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA,ASV57,[family: NS11-12 marine group]
ASV58,FALSE,0.215654019,0.137008333,FALSE,0.099426784,0.262791253,NA,NA,NA,FALSE,0.88140425,-0.063122965,0.000144435,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum,Faecalibacterium,ASV58,Faecalibacterium (Subdoligranulum)
ASV59,FALSE,0.76611618,0.04336921,FALSE,0.892378618,0.030397489,FALSE,0.464466268,-0.158276167,NA,NA,NA,9.29E-05,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,ASV59,Bacteroides
ASV6,TRUE,7.95E-49,0.510970859,TRUE,2.63E-23,0.599782231,TRUE,8.78E-08,0.222613523,TRUE,3.96E-44,0.446567495,0.057506545,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Labrenzia,Roseibium,ASV6,Roseibium (Labrenzia) 
ASV60,FALSE,0.569331208,0.07431055,NA,NA,NA,FALSE,0.816434052,0.059682494,FALSE,0.379547985,-0.225386932,0.000148647,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,ASV60,Bacteroides
ASV61,FALSE,0.351338013,0.106993217,FALSE,0.473013761,-0.141564054,TRUE,0,0.222580016,FALSE,0.938192059,-0.023985637,0.000106023,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,ASV61,Bacteroides
ASV62,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.622076416,-0.132851767,0.000124862,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,Escherichia/Shigella,ASV62,Escherichia-Shigella
ASV63,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.546669028,-0.186922536,0.000130196,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,Prevotella,ASV63,Prevotella
ASV65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.94E-05,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia,ASV65,Roseburia
ASV66,FALSE,0.887960145,0.018158449,FALSE,0.279303895,-0.168387376,NA,NA,NA,FALSE,0.88140425,-0.063537049,0.000121092,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia,ASV66,Akkermansia
ASV69,NA,NA,NA,FALSE,0.380616265,-0.134754039,NA,NA,NA,NA,NA,NA,8.12E-05,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,ASV69,Bacteroides
ASV7,TRUE,3.75E-32,1.488618378,TRUE,1.18E-222,2.394114804,TRUE,1.84E-08,0.319389292,TRUE,4.28E-20,1.488401712,0.047589483,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassospiraceae,Thalassospira,Thalassospira,ASV7,Thalassospira
ASV70,NA,NA,NA,TRUE,0,-0.558072326,NA,NA,NA,NA,NA,NA,7.45E-05,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudohoeflea,Pseudohoeflea,ASV70,Pseudohoeflea
ASV71,NA,NA,NA,TRUE,0,0.251575512,NA,NA,NA,NA,NA,NA,8.53E-05,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia,ASV71,Blautia
ASV74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.98E-05,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,Prevotella,ASV74,Prevotella
ASV79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.85E-05,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobaculum,Pararhodobacter,ASV79,Pararhodobacter (Rhodobaculum)
ASV8,TRUE,0.0083505,-0.233176013,TRUE,6.91E-37,-0.459665867,FALSE,0.067414824,-0.404320909,FALSE,0.086476627,-0.099490588,0.035825453,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Methylophagaceae,Methylophaga,Methylophaga,ASV8,Methylophaga
ASV9,FALSE,0.805428115,-0.02160149,TRUE,0.000640036,-0.202954568,FALSE,0.064425555,-0.123560148,FALSE,0.938192059,-0.002239079,0.053478487,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus,ASV9,Algoriphagus
